0.01	1189
0.02	651
0.03	420
0.04	309
0.05	174
0.06	139
0.07	115
0.08	89
0.09	62
0.1	51
0.11	45
0.12	37
0.13	35
0.14	25
0.15	21
0.16	19
0.17	18
0.18	13
0.19	12
0.2	12
0.21	12
0.22	11
0.23	10
0.24	10
0.25	9
0.26	9
0.27	8
0.28	7
0.29	7
0.3	7
0.31	6
0.32	6
0.33	6
0.34	6
0.35	6
0.36	6
0.37	6
0.38	6
0.39	6
0.4	6
0.41	6
0.42	6
0.43	6
0.44	5
0.45	5
0.46	5
0.47	5
0.48	4
0.49	4
0.5	4
0.51	4
0.52	4
0.53	4
0.54	4
0.55	4
0.56	4
0.57	4
0.58	4
0.59	4
0.6	4
0.61	4
0.62	4
0.63	4
0.64	4
0.65	4
0.66	4
0.67	4
0.68	4
0.69	4
0.7	4
0.71	4
0.72	4
0.73	4
0.74	4
0.75	4
0.76	4
0.77	4
0.78	4
0.79	3
0.8	3
0.81	3
0.82	2
0.83	2
0.84	2
0.85	2
0.86	1
0.87	1
0.88	1
0.89	1
0.9	0
0.91	0
0.92	0
0.93	0
0.94	0
0.95	0
0.96	0
0.97	0
0.98	0
0.99	0
1.0	0
